"Data Source","World Development Indicators",

"Last Updated Date","2017-01-03",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1420","1490","1610","1800","1870","2030","2200","2140","2220","2850","3060","3290","3490","3680","4000","4350","5100","5270","5490","6000","6450","6690","6910","7330","7630","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5090","5740","5940","6290","5740","6420","6450","7120","7500","7620","7710","8090","7680","8400","8630","9400","10420","11480","12190","11660","12300","13540","14250","15150","15660","15510","",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","600","560","560","570","620","590","620","640","660","650","680","700","670","710","730","780","820","840","850","870","900","940","590","600","620","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19290","19310","19620","20420","21560","22460","23030","24220","25210","26650","28310","29090","29850","31220","32860","35230","37220","38650","39500","38050","39310","40810","41600","43680","44350","44010","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6416.97886320943","6719.2672340908","7226.11178505145","7753.06170656441","8254.96704918519","8609.37421278079","8983.58021057031","9272.39966298372","9907.28829103435","10678.9683955549","11435.1717900462","12045.9294732123","12917.3730945625","13925.4785343546","15433.9479430125","17047.988476765","18741.2185613195","18880.6051213006","19774.2154987238","21035.4632265752","21986.2543015436","22990.8925543235","23808.5034990635","24584.3576099597","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27350","27670","27900","28400","28900","29700","30520","32330","33570","34430","36800","36790","37390","38870","40160","42500","46660","47760","47200","50930","54460","55080","58470","60460","60260","62590","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4620","5340","5860","6230","7060","7730","8330","8700","8580","9490","9900","10110","10500","11060","11870","13780","15020","15260","15180","17020","19140","20480","20640","21470","21790","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1100","1270","1460","1670","1840","2040","2250","2420","2630","2900","3180","3520","3940","4440","5060","5870","6880","7680","8360","9290","10290","11320","12270","13460","14390","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1810","1800","1770","1830","1940","2100","2180","2290","2290","2140","2100","2030","1950","2090","2320","2380","2440","2500","2540","2570","2450","2710","2890","3140","3260","",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710","1620","1570","1440","1450","1500","1560","1620","1700","1750","1780","1840","1920","2030","2140","2190","2310","2360","2430","2460","2490","2580","2670","2780","2960","3070","",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820","2930","3120","2850","2850","1990","2030","2500","2700","2400","2600","2690","2850","2940","2810","2970","3150","3220","3610","3730","4120","4180","4470","4670","5220","6320","",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4620","4830","5100","5300","5720","6050","6160","6380","6410","6150","6440","6580","6740","6990","7460","7950","8640","9350","9740","9890","10260","10970","11570","12250","12950","13550","",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020","970","1060","1080","1010","1040","1020","1050","1040","1050","1160","1190","1200","1220","1240","1290","1330","1360","1350","1350","1360","1390","1420","1470","1490","1490","",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","1100","1220","1320","1560","1760","1930","2130","2360","2590","2940","3060","3170","3330","3720","3990","4380","5250","5650","5590","5590","5910","5990","6110","6160","6320","",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4860","5070","5530","5910","6220","6410","6470","6760","7040","6560","7460","7760","8000","8380","8880","9420","10360","11410","12080","11720","12320","12940","13690","13960","14410","14910","",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5360.81816475416","5606.49765524894","5784.16181790417","6257.72062270006","6468.82233243394","6887.26213890236","7300.50704213117","7437.73450927631","7656.74792657176","7981.51023615517","8390.22804660901","8598.73306144109","9119.68474537733","9874.87437002238","10634.2871737814","11322.0505218384","12526.4885464862","13282.0522883318","13747.2020925716","13209.4714968415","13565.5585247809","13434.2695676121","13825.3624691883","14500.5856234506","14699.4552230037","15240.1713701862","",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8660","7950","7170","6210","6350","6570","7200","7500","7580","8140","8770","9260","9490","10050","10880","12490","14460","15830","16780","16980","17660","18630","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13000","13190","14310","14430","15240","15990","16340","16990","19630","18880","20120","21730","22730","23410","25180","27060","29360","31740","34540","34100","33340","33400","31030","29160","29290","31010","",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11770","12130","12740","13700","14490","14700","14770","15120","15980","17170","17680","18960","20020","21280","22920","24970","25350","25110","25030","26510","27070","28400","29440","30610","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19340","20710","21410","21490","22320","23050","23630","24110","24710","25580","26450","27490","28090","29100","30910","32470","35290","37320","38810","37950","40420","43210","44680","45330","47560","48410","",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","1990","1880","1840","1790","1710","1680","1660","1700","1730","1760","1810","1980","2120","2220","","","","","","","","","","","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4220","4330","4530","4740","4800","4950","5080","5340","5750","5690","5720","6170","6080","6700","6990","7270","8020","8670","9530","9590","9840","9970","9830","10130","10640","10500","",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18300","19090","19930","20450","21990","23110","24150","25340","26320","27310","28950","29830","31230","31080","33290","34340","37620","38870","41290","40010","42520","44230","45250","47150","47600","47820","",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3250","3350","3710","3930","4060","4300","4650","5020","5330","5670","6040","6190","6550","6410","6450","7380","8340","9190","9670","9710","10630","10890","11250","11710","12650","13600","",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6390","6270","6400","6340","6250","6420","6680","6820","7170","7360","7690","8170","8570","9270","9760","10490","10910","11700","12090","12160","12620","12900","13300","13520","13960","14310","",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1426.8028470616","1543.7292110557","1720.1675460784","1926.60614581837","2153.10440449837","2360.68521829636","2585.21900472141","2776.95117739902","2789.41440850178","2961.28623845622","3220.49691777036","3461.74386241595","3753.92368728883","4189.62214805672","4649.38930870353","5199.07593733194","5903.87037654417","6757.62285812603","7427.89775496295","7948.53985456585","8741.06867318897","9525.96824714301","10389.0943295629","11171.9158707123","12124.1748575221","12893.1956916137","",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2542.42811176679","2669.94686156494","2801.49277874703","2976.95294041185","3083.52782403382","3183.99228886711","3355.50568295268","3505.97126263473","3599.03590335192","3681.75372623647","3865.76816791545","3956.10517766432","4033.03313654547","4289.21527989891","4633.84909522276","5050.78410141422","5505.98337375378","5977.54966008742","6285.55671785225","6426.26156315838","6845.212103404","7226.12074055216","7534.16829914752","7851.78831559485","8258.97765175969","8613.01832819664","",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3173.29853717365","3395.54295753499","3621.44651428239","3874.53633494902","4158.1271561231","4442.16674929847","4751.5289958534","5014.49621104988","4987.99269974717","5219.41190648236","5605.69292415923","5899.37728701441","6264.02925565903","6736.12205330427","7322.32519508479","7949.87125309907","8777.3068898381","9762.40162274902","10410.22983181","10769.4189623421","11697.7638781499","12524.2399594205","13436.0813402952","14263.9450992364","15165.5322504602","15923.8862564425","",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6191.71115262216","5992.56953953296","5395.1575176749","5135.26745332725","4650.30837763956","4604.10062209193","4632.28289558678","4777.20296883904","5072.27783833764","5222.96319012495","5885.99745993891","6242.41870437449","6670.96266992881","7321.89700175669","8245.66204052943","9288.22932687758","11040.0542310586","12297.949449959","14108.2311780638","13615.3654207023","14509.5753489908","16310.8793070445","17079.834134516","17002.3504638138","17713.2554086702","17616.7807571996","",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11327.1857146515","11650.4354850167","11688.2403823702","11765.8156228954","12014.9918077112","12462.8455560687","12914.6525900434","13510.4724954876","14157.6760505388","14696.2523411618","15859.3141744148","16668.6785469204","17345.8191071418","18025.3241921403","19176.5537765157","20419.3268480303","22543.7267380703","24036.7069428064","25471.5561148811","24845.9318018347","25781.1716829534","27310.4667893495","27971.7710373897","28486.8495531935","29170.5975645044","29514.7847040908","",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","4750","4920","5050","5290","5420","5480","5720","5820","5380","5400","5790","6080","6250","6810","7330","7790","8040","8710","8710","9030","9770","10360","10880","11330","11270","",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3790","3930","4120","4230","4450","4690","4950","5240","5420","5720","6050","6300","6360","6550","6870","7280","7930","8610","9240","9490","9700","9810","10010","10130","10330","10710","",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16833.3884240846","17759.2680044348","18329.3492927038","18571.0782800648","19328.4631954822","20196.4171861674","20885.4389560786","21752.1390055119","22717.2823701091","23640.5359155518","25075.6940456594","26276.4405282734","27022.8640399833","27557.9819403456","28761.3793934433","30083.1830556193","32628.7576265464","34469.9471346981","35692.2688788937","34944.8208770744","36048.7531267113","37441.4131937791","37941.5500686367","38817.7177809545","39525.5222547329","40216.2215873174","",
