"Data Source","World Development Indicators",

"Last Updated Date","2017-01-03",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Central African Republic","CAF","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","18.2361698150635","","","","","","","","","","","","","33.6244201660156","","","","","","","","","","","","50.6451683044434","","","","","","","","","","36.7526092529297","","","","","36.7526092529297","",
"Canada","CAN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5949630737305","","","","","","","","","","98.9601898193359","","","","","","","","","","99.3609619140625","","","","","","",
"Switzerland","CHE","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","91.1284027099609","","","","","","","","","","94.2911376953125","","","","","","","","","","95.7166213989258","","","","","","98.6490097045898","98.5536804199219","","96.703010559082","","96.2706832885742","","96.6275482177734","",
"China","CHN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","65.5050888061523","","","","","","","","77.7850570678711","","","","","","","","","","90.9202117919922","","","","","","","","","","95.1244812011719","","","","","96.3574523925781","",
"Cote d'Ivoire","CIV","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1392784118652","","","","","","","","","","36.3502388000488","","48.7407608032227","","","","","","","","","","","","40.9816284179688","","","43.2653198242188","",
"Cameroon","CMR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","41.2162094116211","","","","","","","","","","","","","","","","","","","","","","","","68.4091567993164","","","","","","","70.6799392700195","","","71.2905120849609","","","","","74.9855804443359","",
"Congo, Rep.","COG","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3111724853516","","","","79.3111724853516","",
"Colombia","COL","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0630874633789","","","91.207160949707","","","","","","","","92.8037796020508","92.8486633300781","92.2996826171875","92.6517868041992","93.3781814575195","93.2446899414063","93.3723297119141","93.5805282592773","","","94.1834564208984","94.5770568847656","",
"Comoros","COM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","47.9192314147949","","","","","","","","","","","","","","","","","","","","68.4892272949219","","","","","","","","","","","","","","77.5732727050781","78.1373901367188","",
